"Item","Qty","Reference(s)","Value",Comments,"LibPart","Footprint","Datasheet","DNP"
"1","6","C1, C2, C3, C6, C7, C8","0.1u",セラミックコンデンサ,"Device:C_Small","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~",
"2","2","C4, C5","100u",電解コンデンサ,"Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",
"3","1","J1","AJ-1780",基板取付用3.5mmステレオミニジャック,"Connector_Audio:AudioJack2_Ground_Switch","AJ-1780:AJ-1780-2","~",
"4","1","J2","50P ボックスヘッダ",50P ボックスヘッダ,"Connector_Generic:Conn_02x25_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Horizontal","~",
"5","1","J3","IO_CON",2列 ピンヘッダ,"Connector_Generic:Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~",
"6","1","JP1","PSG1_JP",1列 ピンヘッダ,"Jumper:Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",
"7","1","JP2","PSG2_JP",1列 ピンヘッダ,"Jumper:Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",
"8","4","MH1, MH2, MH3, MH4","MountingHole",基板穴(部品ではありません),"Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",
"9","2","R1, R2","1k",抵抗器,"Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"10","2","R3, R4","10k",抵抗器,"Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",
"11","1","U1","74LS32",ロジックIC,"74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS32",
"12","1","U2","74LS74",ロジックIC,"74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","74xx/74hc_hct74.pdf",
"13","1","U3","74LS138",ロジックIC,"74xx:74LS138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138",
"14","2","U4, U7","YM2149",音源IC,"Audio:YM2149","Package_DIP:DIP-40_W15.24mm","http://www.ym2149.com/ym2149.pdf",
"15","1","U6","74LS02",ロジックIC,"74xx:74LS02","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74ls02",
